innings_player,innings_runs_scored,innings_runs_scored_num,innings_minutes_batted,innings_batted_flag,innings_not_out_flag,innings_balls_faced,innings_boundary_fours,innings_boundary_sixes,innings_batting_strike_rate,innings_number,opposition,ground,innings_date,country,50s,100s,innings_runs_scored_buckets,innings_overs_bowled,innings_bowled_flag,innings_maidens_bowled,innings_runs_conceded,innings_wickets_taken,4_wickets,5_wickets,10_wickets,innings_wickets_taken_buckets,innings_economy_rate
CM Edwards,173*,173,186,1,1,155,19,0,111.61,1,v Ire Women,Pune,1997-12-16,England Women,0,1,150-199,,,,,,,,,,
BA Daniels,142*,142,130,1,1,103,18,1,137.86,1,v PAK Women,Vijayawada,1997-12-12,England Women,0,1,100-149,,,,,,,,,,
CM Edwards,139*,139,163,1,1,152,17,0,91.44,1,v Neth Women,Lincoln,2000-11-30,England Women,0,1,100-149,,,,,,,,,,
JA Brittin,138*,138,,1,1,,,,,1,v Int XI Women,Hamilton,1982-01-14,England Women,0,1,100-149,,,,,,,,,,
JA Brittin,138,138,150,1,0,124,17,0,111.29,1,v PAK Women,Vijayawada,1997-12-12,England Women,0,1,100-149,,,,,,,,,,
SC Taylor,137*,137,147,1,1,145,16,0,94.48,1,v SL Women,Lincoln,2000-12-12,England Women,0,1,100-149,,,,,,,,,,
DL Thomas,134,134,,1,0,,,,,1,v Int XI Women,Hove,1973-06-23,England Women,0,1,100-149,,,,,,,,,,
E Bakewell,118,118,,1,0,,,,,1,v AUS Women,Birmingham,1973-07-28,England Women,0,1,100-149,,,,,,,,,,
HC Plimmer,118,118,,1,0,,,,,1,v Ire Women,Reading,1993-07-24,England Women,0,1,100-149,,,,,,,,,,
R Heyhoe-Flint,114,114,,1,0,,,,,1,v Y. Eng Women,Ilford,1973-07-18,England Women,0,1,100-149,,,,,,,,,,
CA Hodges,113,113,,1,0,,,,,1,v Ire Women,Reading,1993-07-24,England Women,0,1,100-149,,,,,,,,,,
K Smithies,110*,110,,1,1,,,,,2,v India Women,Nottingham,1999-07-11,England Women,0,1,100-149,,,,,,,,,,
WA Watson,107*,107,179,1,1,168,0,0,63.69,1,v Ire Women,Northampton,1990-07-22,England Women,0,1,100-149,,,,,,,,,,
CA Hodges,105*,105,,1,1,,,,,1,v AUS Women,Guildford,1993-07-26,England Women,0,1,100-149,,,,,,,,,,
JA Brittin,104,104,,1,0,,,,,1,v Denmk Women,Banstead,1993-07-20,England Women,0,1,100-149,,,,,,,,,,
CM Edwards,102,102,,1,0,,,,,1,v SA Women,Taunton,1997-08-17,England Women,0,1,100-149,,,,,,,,,,
E Bakewell,101*,101,,1,1,,,,,1,v Int XI Women,Hove,1973-06-23,England Women,0,1,100-149,,,,,,,,,,
JA Brittin,101,101,148,1,0,,6,0,,1,v NZ Women,Hastings,1984-06-24,England Women,0,1,100-149,,,,,,,,,,
JA Brittin,100,100,,1,0,,,,,1,v India Women,Finchampstead,1993-07-25,England Women,0,1,100-149,,,,,,,,,,
J Powell,98*,98,132,1,1,103,16,0,95.14,1,v Denmk Women,Nottingham,1990-07-19,England Women,1,0,50-99,,,,,,,,,,
CM Edwards,96*,96,155,1,1,123,14,0,78.04,2,v SA Women,Taunton,2000-06-28,England Women,1,0,50-99,,,,,,,,,,
BA Daniels,95,95,120,1,0,129,15,0,73.64,2,v SA Women,Taunton,2000-06-28,England Women,1,0,50-99,,,,,,,,,,
WA Watson,93*,93,139,1,1,123,15,0,75.60,2,v Ire Women,Kirby Muxloe,1990-07-20,England Women,1,0,50-99,,,,,,,,,,
CA Hodges,91,91,,1,0,,,,,1,v Neth Women,Melbourne,1988-12-16,England Women,1,0,50-99,,,,,,,,,,
J Smit,91,91,180,1,0,147,6,0,61.90,1,v Neth Women,Dublin,1995-07-18,England Women,1,0,50-99,,,,,,,,,,
WA Watson,90*,90,198,1,1,151,6,0,59.60,1,v Denmk Women,Nykobing Mors,1989-07-20,England Women,1,0,50-99,,,,,,,,,,
JA Brittin,88*,88,193,1,1,148,12,0,59.45,2,v NZ Women,Leicester,1984-06-30,England Women,1,0,50-99,,,,,,,,,,
HC Plimmer,87,87,149,1,0,104,5,0,83.65,1,v Denmk Women,Hyderabad,1997-12-14,England Women,1,0,50-99,,,,,,,,,,
S Goatman,83,83,,1,0,,,,,1,v Int XI Women,Christchurch,1982-02-04,England Women,1,0,50-99,,,,,,,,,,
J Southgate,82,82,135,1,0,113,4,0,72.56,1,v NZ Women,Bristol,1984-07-21,England Women,1,0,50-99,,,,,,,,,,
JA Brittin,81,81,170,1,0,105,8,0,77.14,1,v India Women,Patna,1995-12-01,England Women,1,0,50-99,,,,,,,,,,
BA Daniels,79,79,113,1,0,108,9,0,73.14,1,v Neth Women,Lincoln,2000-11-30,England Women,1,0,50-99,,,,,,,,,,
HC Plimmer,77,77,,1,0,,,,,1,v Denmk Women,Banstead,1993-07-20,England Women,1,0,50-99,,,,,,,,,,
R Heyhoe-Flint,76,76,,1,0,,,,,2,v NZ Women,Auckland,1982-01-10,England Women,1,0,50-99,,,,,,,,,,
CM Edwards,75,75,145,1,0,119,5,0,63.02,2,v AUS Women,Hove,1998-07-18,England Women,1,0,50-99,,,,,,,,,,
BA Daniels,74,74,105,1,0,106,10,0,69.81,1,v SA Women,Canterbury,2000-06-25,England Women,1,0,50-99,,,,,,,,,,
JA Brittin,73,73,124,1,0,113,3,0,64.60,2,v AUS Women,Melbourne,1985-01-31,England Women,1,0,50-99,,,,,,,,,,
CM Edwards,72,72,50,1,0,55,13,0,130.90,1,v Denmk Women,Hyderabad,1997-12-14,England Women,1,0,50-99,,,,,,,,,,
DL Thomas,70,70,,1,0,,,,,1,v Jamaica Wmn,Bradford,1973-07-07,England Women,1,0,50-99,,,,,,,,,,
JA Brittin,69,69,154,1,0,127,1,0,54.33,1,v NZ Women,Bristol,1984-07-21,England Women,1,0,50-99,,,,,,,,,,
WA Watson,69,69,135,1,0,109,4,0,63.30,1,v Denmk Women,Haarlem,1991-07-20,England Women,1,0,50-99,,,,,,,,,,
JA Brittin,69,69,137,1,0,117,4,0,58.97,2,v AUS Women,Wellington,1992-01-18,England Women,1,0,50-99,,,,,,,,,,
JM Court,67,67,,1,0,,,,,2,v India Women,Leicester,1986-06-22,England Women,1,0,50-99,,,,,,,,,,
BA Daniels,66,66,,1,0,,,,,2,v NZ Women,Chester-le-Street,1996-06-18,England Women,1,0,50-99,,,,,,,,,,
R Heyhoe-Flint,64,64,,1,0,,,,,1,v AUS Women,Birmingham,1973-07-28,England Women,1,0,50-99,,,,,,,,,,
S Goatman,63*,63,,1,1,,,,,2,v Int XI Women,Wellington,1982-01-24,England Women,1,0,50-99,,,,,,,,,,
WA Watson,63*,63,,1,1,,,,,2,v Ire Women,Melbourne,1988-12-13,England Women,1,0,50-99,,,,,,,,,,
J Smit,63*,63,112,1,1,99,2,0,63.63,1,v SL Women,Lincoln,2000-12-12,England Women,1,0,50-99,,,,,,,,,,
K Smithies,62*,62,117,1,1,98,8,0,63.26,2,v AUS Women,Lord's,1998-07-21,England Women,1,0,50-99,,,,,,,,,,
CA Hodges,62,62,,1,0,,,,,1,v AUS Women,Melbourne,1988-12-11,England Women,1,0,50-99,,,,,,,,,,
R Heyhoe-Flint,61*,61,,1,1,,,,,1,v Int XI Women,Christchurch,1982-02-04,England Women,1,0,50-99,,,,,,,,,,
JA Brittin,61,61,,1,0,,,,,1,v AUS Women,Guildford,1993-07-26,England Women,1,0,50-99,,,,,,,,,,
BA Daniels,60*,60,,1,1,,,,,1,v Denmk Women,Banstead,1993-07-20,England Women,1,0,50-99,,,,,,,,,,
JA Brittin,60,60,,1,0,,,,,2,v NZ Women,Wellington,1982-01-27,England Women,1,0,50-99,,,,,,,,,,
SC Taylor,60,60,131,1,0,93,3,0,64.51,2,v India Women,Lincoln,2000-12-04,England Women,1,0,50-99,,,,,,,,,,
MA Lear,58,58,,1,0,,,,,1,v AUS Women,Christchurch,1982-02-02,England Women,1,0,50-99,,,,,,,,,,
CM Edwards,57*,57,82,1,1,65,7,0,87.69,2,v SL Women,Mohali,1997-12-21,England Women,1,0,50-99,,,,,,,,,,
K Lowe,57*,57,,1,1,,,,,1,v Denmk Women,Nykobing Mors,1999-07-20,England Women,1,0,50-99,,,,,,,,,,
E Bakewell,57,57,,1,0,,,,,1,v WI Women,Shireoaks,1979-07-07,England Women,1,0,50-99,,,,,,,,,,
WA Watson,57,57,,1,0,,,,,1,v Neth Women,Melbourne,1988-12-16,England Women,1,0,50-99,,,,,,,,,,
CM Edwards,57,57,99,1,0,89,8,0,64.04,2,v SA Women,Worcester,2000-07-01,England Women,1,0,50-99,,,,,,,,,,
MA Lear,56*,56,,1,1,,,,,2,v AUS Women,Nottingham,1976-08-08,England Women,1,0,50-99,,,,,,,,,,
S Goatman,56,56,,1,0,,,,,2,v NZ Women,New Plymouth,1982-01-18,England Women,1,0,50-99,,,,,,,,,,
J Southgate,56,56,,1,0,,,,,2,v NZ Women,Wellington,1982-01-27,England Women,1,0,50-99,,,,,,,,,,
D Maybury,56,56,55,1,0,64,8,0,87.50,1,v Denmk Women,Nottingham,1990-07-19,England Women,1,0,50-99,,,,,,,,,,
SC Taylor,56,56,,1,0,114,2,0,49.12,1,v NZ Women,Wellington,2000-02-15,England Women,1,0,50-99,,,,,,,,,,
CM Edwards,55,55,117,1,0,95,7,0,57.89,2,v AUS Women,Sydney,2000-01-29,England Women,1,0,50-99,,,,,,,,,,
CJ Watmough,54*,54,,1,1,,,,,2,v Int XI Women,Wellington,1982-01-24,England Women,1,0,50-99,,,,,,,,,,
CA Hodges,54,54,,1,0,,,,,2,v AUS Women,Canterbury,1987-07-25,England Women,1,0,50-99,,,,,,,,,,
HC Plimmer,54,54,142,1,0,102,2,0,52.94,1,v Denmk Women,Nykobing Mors,1989-07-20,England Women,1,0,50-99,,,,,,,,,,
MA Lear,53*,53,78,1,1,,6,0,,2,v AUS Women,Canterbury,1976-08-01,England Women,1,0,50-99,,,,,,,,,,
R Heyhoe-Flint,53*,53,,1,1,,,,,2,v WI Women,Teddington,1979-06-06,England Women,1,0,50-99,,,,,,,,,,
J Southgate,53,53,,1,0,,,,,1,v AUS Women,Christchurch,1982-02-07,England Women,1,0,50-99,,,,,,,,,,
HC Plimmer,53,53,,1,0,,,,,2,v NZ Women,Chester-le-Street,1996-06-18,England Women,1,0,50-99,,,,,,,,,,
BA Daniels,53,53,,1,0,,,,,2,v SA Women,Lord's,1997-08-20,England Women,1,0,50-99,,,,,,,,,,
J Powell,52*,52,,1,1,,,,,1,v Neth Women,Melbourne,1988-12-16,England Women,1,0,50-99,,,,,,,,,,
CJ Watmough,52,52,115,1,0,,4,0,,1,v NZ Women,Hastings,1984-06-24,England Women,1,0,50-99,,,,,,,,,,
BA Daniels,52,52,86,1,0,92,5,0,56.52,1,v Neth Women,London,1993-07-29,England Women,1,0,50-99,,,,,,,,,,
SJ Metcalfe,51*,51,,1,1,,,,,1,v SA Women,Bristol,1997-08-15,England Women,1,0,50-99,,,,,,,,,,
CJ Watmough,51,51,,1,0,,,,,2,v NZ Women,New Plymouth,1982-01-18,England Women,1,0,50-99,,,,,,,,,,
JA Brittin,51,51,56,1,0,55,5,0,92.72,1,v Denmk Women,Hyderabad,1997-12-14,England Women,1,0,50-99,,,,,,,,,,
CJ Watmough,50*,50,,1,1,,,,,2,v AUS Women,Lord's,1976-08-04,England Women,1,0,50-99,,,,,,,,,,
J Smit,50*,50,,1,1,,,,,1,v SA Women,Taunton,1997-08-17,England Women,1,0,50-99,,,,,,,,,,
J Smit,50*,50,57,1,1,55,4,0,90.90,1,v Ire Women,Pune,1997-12-16,England Women,1,0,50-99,,,,,,,,,,
E Bakewell,50,50,,1,0,,,,,2,v AUS Women,Lord's,1976-08-04,England Women,1,0,50-99,,,,,,,,,,
HC Plimmer,50,50,102,1,0,100,2,0,50.00,1,v Denmk Women,Haarlem,1991-07-20,England Women,1,0,50-99,,,,,,,,,,
SJ Metcalfe,49*,49,,1,1,,,,,2,v SA Women,Lord's,1997-08-20,England Women,0,0,0-49,,,,,,,,,,
CA Hodges,49,49,125,1,0,119,5,0,41.17,1,v NZ Women,Wellington,1992-01-20,England Women,0,0,0-49,,,,,,,,,,
BA Daniels,49,49,82,1,0,89,5,0,55.05,1,v SA Women,Chelmsford,2000-06-20,England Women,0,0,0-49,,,,,,,,,,
JA Brittin,48*,48,,1,1,,,,,2,v Neth Women,Sydney,1988-12-06,England Women,0,0,0-49,,,,,,,,,,
J Smit,48*,48,94,1,1,92,1,0,52.17,1,v NZ Women,Timaru,2000-11-21,England Women,0,0,0-49,,,,,,,,,,
CA Hodges,48,48,102,1,0,110,2,0,43.63,2,v AUS Women,Melbourne,1985-01-31,England Women,0,0,0-49,,,,,,,,,,
JA Brittin,48,48,115,1,0,117,6,0,41.02,1,v NZ Women,Lord's,1993-08-01,England Women,0,0,0-49,,,,,,,,,,
JM Chamberlain,47*,47,,1,1,,,,,2,v NZ Women,Perth,1988-11-30,England Women,0,0,0-49,,,,,,,,,,
SC Taylor,47*,47,58,1,1,50,7,0,94.00,2,v SA Women,Nottingham,2000-06-22,England Women,0,0,0-49,,,,,,,,,,
DL Thomas,47,47,,1,0,,,,,2,v NZ Women,Hyderabad (Deccan),1978-01-08,England Women,0,0,0-49,,,,,,,,,,
D Maybury,47,47,105,1,0,86,1,1,54.65,1,v Neth Women,Haarlem,1991-07-17,England Women,0,0,0-49,,,,,,,,,,
BA Daniels,47,47,48,1,0,48,6,0,97.91,2,v Ire Women,Dublin,1995-07-22,England Women,0,0,0-49,,,,,,,,,,
HC Plimmer,47,47,,1,0,,,,,1,v SA Women,Bristol,1997-08-15,England Women,0,0,0-49,,,,,,,,,,
JA Brittin,46*,46,,1,1,,,,,1,v AUS Women,Melbourne,1988-12-18,England Women,0,0,0-49,,,,,,,,,,
MA Reynard,46*,46,52,1,1,54,3,0,85.18,1,v SA Women,Chelmsford,2000-06-20,England Women,0,0,0-49,,,,,,,,,,
JA Brittin,46,46,,1,0,,,,,2,v WI Women,Arundel,1993-07-28,England Women,0,0,0-49,,,,,,,,,,
DA Stock,46,46,,1,0,,,,,2,v NZ Women,Leicester,1996-06-16,England Women,0,0,0-49,,,,,,,,,,
KM Leng,46,46,95,1,0,72,7,0,63.88,1,v SA Women,Lincoln,2000-12-02,England Women,0,0,0-49,,,,,,,,,,
J Southgate,45,45,,1,0,,,,,1,v AUS Women,Christchurch,1982-02-02,England Women,0,0,0-49,,,,,,,,,,
JM Court,45,45,97,1,0,98,3,0,45.91,1,v AUS Women,Melbourne,1985-02-03,England Women,0,0,0-49,,,,,,,,,,
CA Hodges,45,45,,1,0,,,,,2,v NZ Women,Perth,1988-11-30,England Women,0,0,0-49,,,,,,,,,,
CA Hodges,45,45,116,1,0,119,5,0,37.81,1,v NZ Women,Lord's,1993-08-01,England Women,0,0,0-49,,,,,,,,,,
CM Edwards,45,45,,1,0,,,,,1,v SA Women,Bristol,1997-08-15,England Women,0,0,0-49,,,,,,,,,,
SC Taylor,45,45,85,1,0,85,6,0,52.94,2,v AUS Women,Lincoln,2000-12-10,England Women,0,0,0-49,,,,,,,,,,
A Brindle,44*,44,98,1,1,89,5,0,49.43,2,v Ire Women,Lincoln,2000-12-07,England Women,0,0,0-49,,,,,,,,,,
JA Brittin,44,44,,1,0,,,,,2,v India Women,Leicester,1986-06-22,England Women,0,0,0-49,,,,,,,,,,
WA Watson,44,44,,1,0,,,,,1,v NZ Women,Melbourne,1988-12-14,England Women,0,0,0-49,,,,,,,,,,
KM Leng,44,44,69,1,0,61,5,0,72.13,1,v Denmk Women,Dublin,1995-07-19,England Women,0,0,0-49,,,,,,,,,,
SJ Metcalfe,44,44,,1,0,,,,,1,v SA Women,Taunton,1997-08-17,England Women,0,0,0-49,,,,,,,,,,
K Smithies,44,44,82,1,0,71,3,0,61.97,2,v AUS Women,Derby,1998-07-15,England Women,0,0,0-49,,,,,,,,,,
DL Thomas,43*,43,,1,1,,,,,2,v India Women,Kolkata,1978-01-01,England Women,0,0,0-49,,,,,,,,,,
CA Hodges,43*,43,,1,1,,,,,2,v Ire Women,Melbourne,1988-12-13,England Women,0,0,0-49,,,,,,,,,,
J Smit,43*,43,63,1,1,46,4,0,93.47,1,v Denmk Women,Hyderabad,1997-12-14,England Women,0,0,0-49,,,,,,,,,,
MA Lear,43,43,,1,0,,,,,2,v India Women,Auckland,1982-01-12,England Women,0,0,0-49,,,,,,,,,,
CA Hodges,43,43,,1,0,,,,,2,v Ire Women,Sydney,1988-12-05,England Women,0,0,0-49,,,,,,,,,,
JM Court,42*,42,,1,1,,,,,2,v AUS Women,Canterbury,1987-07-25,England Women,0,0,0-49,,,,,,,,,,
CJ Watmough,42,42,,1,0,,,,,2,v NZ Women,Hyderabad (Deccan),1978-01-08,England Women,0,0,0-49,,,,,,,,,,
S Goatman,41,41,,1,0,,,,,2,v WI Women,Teddington,1979-06-06,England Women,0,0,0-49,,,,,,,,,,
JA Brittin,41,41,,1,0,,,,,2,v NZ Women,New Plymouth,1982-01-18,England Women,0,0,0-49,,,,,,,,,,
K Smithies,41,41,50,1,0,56,4,0,73.21,1,v Ire Women,Northampton,1990-07-22,England Women,0,0,0-49,,,,,,,,,,
K Smithies,41,41,41,1,0,38,4,0,107.89,2,v AUS Women,Scarborough,1998-07-12,England Women,0,0,0-49,,,,,,,,,,
J Smit,40*,40,130,1,1,120,1,0,33.33,2,v Ire Women,Dublin,1995-07-22,England Women,0,0,0-49,,,,,,,,,,
JA Brittin,40*,40,115,1,1,117,1,0,34.18,2,v India Women,Delhi,1995-11-11,England Women,0,0,0-49,,,,,,,,,,
BA Daniels,40*,40,55,1,1,81,2,0,49.38,2,v India Women,Delhi,1995-11-11,England Women,0,0,0-49,,,,,,,,,,
DL Thomas,40,40,,1,0,,,,,1,v AUS Women,Birmingham,1973-07-28,England Women,0,0,0-49,,,,,,,,,,
JA Brittin,40,40,75,1,0,70,5,0,57.14,1,v AUS Women,Rangiora,1992-01-22,England Women,0,0,0-49,,,,,,,,,,
WA Watson,39*,39,,1,1,,,,,2,v Neth Women,Sydney,1988-12-06,England Women,0,0,0-49,,,,,,,,,,
J Smit,39*,39,114,1,1,107,1,0,36.44,1,v NZ Women,Hamilton,2000-02-20,England Women,0,0,0-49,,,,,,,,,,
JA Brittin,38,38,,1,0,,,,,2,v India Women,Wanganui,1982-01-20,England Women,0,0,0-49,,,,,,,,,,
CA Hodges,38,38,94,1,0,96,4,0,39.58,1,v AUS Women,Melbourne,1985-02-03,England Women,0,0,0-49,,,,,,,,,,
JA Brittin,38,38,,1,0,,,,,2,v AUS Women,Canterbury,1987-07-25,England Women,0,0,0-49,,,,,,,,,,
CA Hodges,38,38,,1,0,,,,,1,v Neth Women,London,1993-07-29,England Women,0,0,0-49,,,,,,,,,,
JM Chamberlain,38,38,39,1,0,33,3,0,115.15,1,v NZ Women,Lord's,1993-08-01,England Women,0,0,0-49,,,,,,,,,,
K Smithies,38,38,100,1,0,93,3,0,40.86,1,v India Women,Chennai,1995-12-15,England Women,0,0,0-49,,,,,,,,,,
CM Edwards,38,38,61,1,0,50,4,0,76.00,1,v SA Women,Hyderabad (Deccan),1997-12-10,England Women,0,0,0-49,,,,,,,,,,
CM Edwards,38,38,,1,0,60,0,0,63.33,1,v NZ Women,Wellington,2000-02-15,England Women,0,0,0-49,,,,,,,,,,
D Maybury,37*,37,,1,1,,,,,2,v Ire Women,Dublin,1990-08-17,England Women,0,0,0-49,,,,,,,,,,
A Elder,37*,37,,1,1,,,,,2,v Ire Women,Dublin,1990-08-17,England Women,0,0,0-49,,,,,,,,,,
KM Leng,37*,37,85,1,1,53,2,0,69.81,2,v Ire Women,Dublin,1995-07-20,England Women,0,0,0-49,,,,,,,,,,
J Stephenson,37,37,,1,0,,,,,1,v Y. Eng Women,Ilford,1973-07-18,England Women,0,0,0-49,,,,,,,,,,
K Smithies,37,37,74,1,0,54,3,0,68.51,1,v Denmk Women,Dublin,1995-07-19,England Women,0,0,0-49,,,,,,,,,,
JA Brittin,37,37,50,1,0,46,6,0,80.43,1,v Ire Women,Pune,1997-12-16,England Women,0,0,0-49,,,,,,,,,,
JA Brittin,37,37,66,1,0,59,0,0,62.71,2,v AUS Women,Scarborough,1998-07-12,England Women,0,0,0-49,,,,,,,,,,
CM Edwards,37,37,,1,0,78,4,0,47.43,1,v NZ Women,Palmerston North,2000-02-12,England Women,0,0,0-49,,,,,,,,,,
JM Chamberlain,36*,36,,1,1,,,,,2,v AUS Women,Canterbury,1987-07-25,England Women,0,0,0-49,,,,,,,,,,
J Powell,36*,36,,1,1,,,,,2,v AUS Women,Sydney,1988-12-03,England Women,0,0,0-49,,,,,,,,,,
JM Chamberlain,36*,36,47,1,1,40,3,0,90.00,2,v Neth Women,Nykobing Mors,1989-07-19,England Women,0,0,0-49,,,,,,,,,,
K Smithies,36*,36,75,1,1,55,1,0,65.45,1,v Neth Women,London,1993-07-29,England Women,0,0,0-49,,,,,,,,,,
K Smithies,36*,36,95,1,1,83,2,0,43.37,1,v India Women,Lucknow,1995-12-05,England Women,0,0,0-49,,,,,,,,,,
CJ Barrs,36,36,97,1,0,86,4,0,41.86,1,v Ire Women,Northampton,1990-07-22,England Women,0,0,0-49,,,,,,,,,,
D Maybury,36,36,74,1,0,73,2,0,49.31,1,v Ire Women,Haarlem,1991-07-16,England Women,0,0,0-49,,,,,,,,,,
HC Plimmer,36,36,81,1,0,88,4,0,40.90,1,v Denmk Women,Dublin,1995-07-19,England Women,0,0,0-49,,,,,,,,,,
HC Plimmer,36,36,55,1,0,45,3,0,80.00,1,v PAK Women,Vijayawada,1997-12-12,England Women,0,0,0-49,,,,,,,,,,
CM Edwards,36,36,47,1,0,53,6,0,67.92,2,v SA Women,Nottingham,2000-06-22,England Women,0,0,0-49,,,,,,,,,,
E Bakewell,35*,35,,1,1,,,,,2,v WI Women,Teddington,1979-06-06,England Women,0,0,0-49,,,,,,,,,,
J Powell,35*,35,105,1,1,92,1,0,38.04,2,v Ire Women,Kirby Muxloe,1990-07-20,England Women,0,0,0-49,,,,,,,,,,
J Smit,35*,35,58,1,1,40,3,0,87.50,1,v India Women,Chennai,1995-12-15,England Women,0,0,0-49,,,,,,,,,,
SJ Metcalfe,35*,35,39,1,1,35,3,0,100.00,1,v PAK Women,Vijayawada,1997-12-12,England Women,0,0,0-49,,,,,,,,,,
MA Lear,35,35,,1,0,,,,,1,v Int XI Women,Hamilton,1982-01-14,England Women,0,0,0-49,,,,,,,,,,
CJ Watmough,35,35,92,1,0,72,5,0,48.61,2,v NZ Women,Leicester,1984-06-30,England Women,0,0,0-49,,,,,,,,,,
JE Edney,35,35,68,1,0,72,3,0,48.61,2,v AUS Women,Melbourne,1985-02-02,England Women,0,0,0-49,,,,,,,,,,
JM Court,35,35,,1,0,,,,,2,v AUS Women,Lord's,1987-07-16,England Women,0,0,0-49,,,,,,,,,,
K Smithies,35,35,76,1,0,76,5,0,46.05,1,v NZ Women,Wellington,1992-01-20,England Women,0,0,0-49,,,,,,,,,,
JA Brittin,35,35,,1,0,,,,,1,v Neth Women,London,1993-07-29,England Women,0,0,0-49,,,,,,,,,,
K Smithies,35,35,48,1,0,52,4,0,67.30,1,v Neth Women,Dublin,1995-07-18,England Women,0,0,0-49,,,,,,,,,,
KM Leng,35,35,,1,0,49,4,0,71.42,2,v India Women,Northampton,1999-07-09,England Women,0,0,0-49,,,,,,,,,,
NJ Shaw,35,35,52,1,0,56,6,0,62.50,1,v NZ Women,Timaru,2000-11-22,England Women,0,0,0-49,,,,,,,,,,
JA Brittin,34*,34,,1,1,,,,,2,v India Women,Nelson,1982-01-31,England Women,0,0,0-49,,,,,,,,,,
SJ Metcalfe,34*,34,60,1,1,54,3,0,62.96,1,v Ire Women,Nykobing Mors,1989-07-21,England Women,0,0,0-49,,,,,,,,,,
JM Chamberlain,34*,34,,1,1,,,,,2,v WI Women,Arundel,1993-07-28,England Women,0,0,0-49,,,,,,,,,,
K Smithies,34*,34,51,1,1,42,3,0,80.95,2,v Ire Women,Dublin,1995-07-22,England Women,0,0,0-49,,,,,,,,,,
R Heyhoe-Flint,34,34,,1,0,,,,,2,v AUS Women,New Plymouth,1982-01-17,England Women,0,0,0-49,,,,,,,,,,
WA Watson,34,34,73,1,0,77,4,0,44.15,1,v Ire Women,Nykobing Mors,1989-07-21,England Women,0,0,0-49,,,,,,,,,,
HC Plimmer,34,34,90,1,0,96,2,0,35.41,1,v India Women,Patna,1995-12-01,England Women,0,0,0-49,,,,,,,,,,
B Nicholson,34,34,,1,0,,,,,1,v Denmk Women,Nykobing Mors,1999-07-20,England Women,0,0,0-49,,,,,,,,,,
MA Reynard,33*,33,52,1,1,47,3,0,70.21,1,v SA Women,Canterbury,2000-06-25,England Women,0,0,0-49,,,,,,,,,,
J Smit,33*,33,116,1,1,99,2,0,33.33,2,v NZ Women,Oamaru,2000-11-19,England Women,0,0,0-49,,,,,,,,,,
J Gough,33,33,,1,0,,,,,1,v Y. Eng Women,Ilford,1973-07-18,England Women,0,0,0-49,,,,,,,,,,
E Bakewell,33,33,,1,0,,,,,1,v AUS Women,Wellington,1982-01-23,England Women,0,0,0-49,,,,,,,,,,
J Southgate,33,33,78,1,0,64,5,0,51.56,2,v AUS Women,Melbourne,1985-02-02,England Women,0,0,0-49,,,,,,,,,,
K Smithies,33,33,,1,0,99,4,0,33.33,2,v India Women,Northampton,1999-07-09,England Women,0,0,0-49,,,,,,,,,,
A Brindle,33,33,101,1,0,98,3,0,33.67,1,v SA Women,Canterbury,2000-06-25,England Women,0,0,0-49,,,,,,,,,,
R Heyhoe-Flint,32*,32,,1,1,,,,,2,v T & T Women,Wolverhampton,1973-07-20,England Women,0,0,0-49,,,,,,,,,,
CJ Watmough,32*,32,,1,1,,,,,1,v AUS Women,Birmingham,1973-07-28,England Women,0,0,0-49,,,,,,,,,,
KM Leng,32*,32,56,1,1,37,1,0,86.48,1,v Neth Women,Dublin,1995-07-18,England Women,0,0,0-49,,,,,,,,,,
E Bakewell,32,32,,1,0,,,,,1,v Jamaica Wmn,Bradford,1973-07-07,England Women,0,0,0-49,,,,,,,,,,
R Heyhoe-Flint,32,32,,1,0,,,,,1,v Jamaica Wmn,Bradford,1973-07-07,England Women,0,0,0-49,,,,,,,,,,
E Bakewell,32,32,,1,0,,,,,2,v AUS Women,Nottingham,1976-08-08,England Women,0,0,0-49,,,,,,,,,,
S Goatman,32,32,,1,0,,,,,2,v AUS Women,New Plymouth,1982-01-17,England Women,0,0,0-49,,,,,,,,,,
JM Court,32,32,,1,0,,,,,1,v India Women,Banstead,1986-07-27,England Women,0,0,0-49,,,,,,,,,,
J Powell,32,32,77,1,0,68,3,0,47.05,1,v Ire Women,Nykobing Mors,1989-07-21,England Women,0,0,0-49,,,,,,,,,,
JM Chamberlain,32,32,53,1,0,45,4,0,71.11,1,v Neth Women,Haarlem,1991-07-17,England Women,0,0,0-49,,,,,,,,,,
SJ Metcalfe,32,32,45,1,0,110,2,0,29.09,2,v India Women,Guwahati,1995-11-14,England Women,0,0,0-49,,,,,,,,,,
JA Brittin,32,32,157,1,0,88,2,0,36.36,2,v NZ Women,Chennai,1997-12-26,England Women,0,0,0-49,,,,,,,,,,
JM Court,31*,31,24,1,1,,5,0,,2,v AUS Women,Canterbury,1976-08-01,England Women,0,0,0-49,,,,,,,,,,
CJ Watmough,31,31,,1,0,,,,,1,v Int XI Women,Christchurch,1982-02-04,England Women,0,0,0-49,,,,,,,,,,
CA Hodges,31,31,,1,0,,,,,1,v India Women,Banstead,1986-07-27,England Women,0,0,0-49,,,,,,,,,,
J Powell,31,31,,1,0,,,,,2,v NZ Women,Perth,1988-11-30,England Women,0,0,0-49,,,,,,,,,,
